field	value
build_id	SPW-PHYSICAL-MULTI-ORDER-001-20260811
source_file	C:\Users\donov\Documents\Atlas\outputs\Sportpaleis-Snijtest-001\Sportpaleis-Snijtest-001-2-34-77.ai
production_route	Adobe Illustrator -> File -> Summa -> Send To WinPlot -> manual Flip Horizontally -> physical output
pre_mirrored	false
working_width_mm	440
edge_margin_mm	5
minimum_contour_gap_target_mm	6.4
used_length_mm	872.716417101
second_column_x_mm	211.400195313
bottom_row_y_mm	768.65820855
pre_export_groups	10
pre_export_SPW_HA_02_Rugnummer_34_NIET_GESPIEGELD_left_mm	5.000039334
pre_export_SPW_HA_02_Rugnummer_34_NIET_GESPIEGELD_top_mm	4.999867079
pre_export_SPW_HA_02_Rugnummer_34_NIET_GESPIEGELD_width_mm	200.000195312
pre_export_SPW_HA_02_Rugnummer_34_NIET_GESPIEGELD_height_mm	215.141389974
pre_export_SPW_HA_02_Rugnummer_34_NIET_GESPIEGELD_paths	2
pre_export_SPW_HA_02_Rugnummer_34_NIET_GESPIEGELD_source_signature_delta_pt	0
pre_export_SPW_HA_05_Rugnummer_34_NIET_GESPIEGELD_left_mm	211.400188531
pre_export_SPW_HA_05_Rugnummer_34_NIET_GESPIEGELD_top_mm	4.999867079
pre_export_SPW_HA_05_Rugnummer_34_NIET_GESPIEGELD_width_mm	200.000023058
pre_export_SPW_HA_05_Rugnummer_34_NIET_GESPIEGELD_height_mm	215.141389974
pre_export_SPW_HA_05_Rugnummer_34_NIET_GESPIEGELD_paths	2
pre_export_SPW_HA_05_Rugnummer_34_NIET_GESPIEGELD_source_signature_delta_pt	0.00097656299999
pre_export_SPW_HA_08_Rugnummer_34_NIET_GESPIEGELD_left_mm	5.000039334
pre_export_SPW_HA_08_Rugnummer_34_NIET_GESPIEGELD_top_mm	226.550168186
pre_export_SPW_HA_08_Rugnummer_34_NIET_GESPIEGELD_width_mm	200.000195312
pre_export_SPW_HA_08_Rugnummer_34_NIET_GESPIEGELD_height_mm	215.141389974
pre_export_SPW_HA_08_Rugnummer_34_NIET_GESPIEGELD_paths	2
pre_export_SPW_HA_08_Rugnummer_34_NIET_GESPIEGELD_source_signature_delta_pt	0.000690547
pre_export_SPW_HA_03_Rugnummer_77_NIET_GESPIEGELD_left_mm	211.400188531
pre_export_SPW_HA_03_Rugnummer_77_NIET_GESPIEGELD_top_mm	226.550168186
pre_export_SPW_HA_03_Rugnummer_77_NIET_GESPIEGELD_width_mm	200.000023058
pre_export_SPW_HA_03_Rugnummer_77_NIET_GESPIEGELD_height_mm	211.915402561
pre_export_SPW_HA_03_Rugnummer_77_NIET_GESPIEGELD_paths	2
pre_export_SPW_HA_03_Rugnummer_77_NIET_GESPIEGELD_source_signature_delta_pt	0.000679449
pre_export_SPW_HA_06_Rugnummer_77_NIET_GESPIEGELD_left_mm	211.400188531
pre_export_SPW_HA_06_Rugnummer_77_NIET_GESPIEGELD_top_mm	444.874826389
pre_export_SPW_HA_06_Rugnummer_77_NIET_GESPIEGELD_width_mm	200.000023058
pre_export_SPW_HA_06_Rugnummer_77_NIET_GESPIEGELD_height_mm	211.915402561
